,pID,bID,Unnamed: 0,Adı,Anlamı,Künyesi,Lakabı,Baba Adı,Anne Adı,Kabilesi,Doğum Yeri,Doğum Yılı,İslam’a Girişi,Sohbet Süresi,Rivayeti,Savaşları,Görevleri,Vefat Yeri,Vefat Yılı,Vefat Yaşı,Eşi/Eşleri,Vefat Bolge,battleAdi
10,8125,27006,25,Abdullah b. Mes’ûd,Allah’ın Kulu,Ebû Abdurrahman / Abdurrahman’ın babası,İbn Ümmü Abd / Ümmü Abd’ın Oğlu,Mes’ûd b. Ğafil b. Habib,Ümmü Abd bint Abduvüd,Hüzeyloğulları / Yemen,Mekke,"N. Öncesi, 18 / Miladî, 592",Nübüvvetin ilk günleri,23,848,"Bedir, Uhud, Hendek ",Kufe Kadılığı,Baki Kabristanlığı/Medine,"Hicrî, 32 / Miladî, 653",61,,Medine,Abdullah b. Mes’ûd
11,8125,27009,25,Abdullah b. Mes’ûd,Allah’ın Kulu,Ebû Abdurrahman / Abdurrahman’ın babası,İbn Ümmü Abd / Ümmü Abd’ın Oğlu,Mes’ûd b. Ğafil b. Habib,Ümmü Abd bint Abduvüd,Hüzeyloğulları / Yemen,Mekke,"N. Öncesi, 18 / Miladî, 592",Nübüvvetin ilk günleri,23,848,"Bedir, Uhud, Hendek ",Kufe Kadılığı,Baki Kabristanlığı/Medine,"Hicrî, 32 / Miladî, 653",61,,Medine,Abdullah b. Mes’ûd
12,8125,27015,25,Abdullah b. Mes’ûd,Allah’ın Kulu,Ebû Abdurrahman / Abdurrahman’ın babası,İbn Ümmü Abd / Ümmü Abd’ın Oğlu,Mes’ûd b. Ğafil b. Habib,Ümmü Abd bint Abduvüd,Hüzeyloğulları / Yemen,Mekke,"N. Öncesi, 18 / Miladî, 592",Nübüvvetin ilk günleri,23,848,"Bedir, Uhud, Hendek ",Kufe Kadılığı,Baki Kabristanlığı/Medine,"Hicrî, 32 / Miladî, 653",61,,Medine,Abdullah b. Mes’ûd
13,8146,27019,46,Abdullah b. Ömer,Allah’ın Kulu,Ebû Abdurrahman,Abâdile,Ömer b. Hattab,Zeynep bint Maz’ûn b. Habib,Adiyyoğulları/Mekke,Mekke,"Nübüvvetin 3. yılı/ Milâdî, 614",Nübüvvetin 6. yılı,17,2630,"Hayber , Mekke Fethi  , Mısır , İstanbul ","['Muallimlik', 'fâkihlik']",Mekke,"Hicrî, 73/ Milâdî, 692",78,,['Mekke'],Abdullah b. Ömer
14,8146,27021,46,Abdullah b. Ömer,Allah’ın Kulu,Ebû Abdurrahman,Abâdile,Ömer b. Hattab,Zeynep bint Maz’ûn b. Habib,Adiyyoğulları/Mekke,Mekke,"Nübüvvetin 3. yılı/ Milâdî, 614",Nübüvvetin 6. yılı,17,2630,"Hayber , Mekke Fethi  , Mısır , İstanbul ","['Muallimlik', 'fâkihlik']",Mekke,"Hicrî, 73/ Milâdî, 692",78,,['Mekke'],Abdullah b. Ömer
15,8146,27030,46,Abdullah b. Ömer,Allah’ın Kulu,Ebû Abdurrahman,Abâdile,Ömer b. Hattab,Zeynep bint Maz’ûn b. Habib,Adiyyoğulları/Mekke,Mekke,"Nübüvvetin 3. yılı/ Milâdî, 614",Nübüvvetin 6. yılı,17,2630,"Hayber , Mekke Fethi  , Mısır , İstanbul ","['Muallimlik', 'fâkihlik']",Mekke,"Hicrî, 73/ Milâdî, 692",78,,['Mekke'],Abdullah b. Ömer
16,8146,27027,46,Abdullah b. Ömer,Allah’ın Kulu,Ebû Abdurrahman,Abâdile,Ömer b. Hattab,Zeynep bint Maz’ûn b. Habib,Adiyyoğulları/Mekke,Mekke,"Nübüvvetin 3. yılı/ Milâdî, 614",Nübüvvetin 6. yılı,17,2630,"Hayber , Mekke Fethi  , Mısır , İstanbul ","['Muallimlik', 'fâkihlik']",Mekke,"Hicrî, 73/ Milâdî, 692",78,,['Mekke'],Abdullah b. Ömer
17,8101,27001,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
18,8101,27002,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
19,8101,27003,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
20,8101,27004,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
21,8101,27005,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
22,8101,27006,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
23,8101,27007,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
24,8101,27008,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
25,8101,27009,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
26,8101,27010,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
27,8101,27011,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
28,8101,27012,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
29,8101,27013,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
30,8101,27014,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
31,8101,27015,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
32,8101,27016,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
33,8101,27017,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
34,8101,27018,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
35,8101,27019,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
36,8101,27020,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
37,8101,27021,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
38,8101,27022,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
39,8101,27023,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
40,8101,27024,1,Abdullah b. Osman,Allah’ın kulu,Ebû Bekir / Deve yavrusunun babası,"Sıddık / Doğrulayan, tereddütsüz onaylayan",Osman b. Âmir,Selma bint Sahr,Teymoğulları/Mekke,Mekke,"N. Öncesi, 38 / Miladî, 573",Nübüvvetin ilk günleri,23,142,Gazveler,"Hac Emirliği, hilafet",Mescid-i Nebevî / Medine,"Hicrî, 12 / Miladî, 634",63,,[' Medine'],Abdullah b. Osman
41,8137,27006,37,Abdullah b. Revâha,Allah’ın kulu,Ebû Muhammed/ Muhammed’in Babası,Şâiru’r-Resûlullah/Resûlullah’ın Şairi,Revâha b. Sa’lebe,Kebşe bint Vâkıt,Harisoğulları/Hazrec,Medine,Tespit edilemedi.,Nübüvvetin 11. yılı,11,10,"Bedir, Uhud, Hendek, Hayber ve Mûte","Medine’de vekâlet, komutanlık ve sancaktarlık",Mûte/Ürdün,"Hicrî, 8/ Miladî, 629",Tespit edilemedi.,,['Ürdün'],Abdullah b. Revâha
42,8137,27020,37,Abdullah b. Revâha,Allah’ın kulu,Ebû Muhammed/ Muhammed’in Babası,Şâiru’r-Resûlullah/Resûlullah’ın Şairi,Revâha b. Sa’lebe,Kebşe bint Vâkıt,Harisoğulları/Hazrec,Medine,Tespit edilemedi.,Nübüvvetin 11. yılı,11,10,"Bedir, Uhud, Hendek, Hayber ve Mûte","Medine’de vekâlet, komutanlık ve sancaktarlık",Mûte/Ürdün,"Hicrî, 8/ Miladî, 629",Tespit edilemedi.,,['Ürdün'],Abdullah b. Revâha
43,8137,27019,37,Abdullah b. Revâha,Allah’ın kulu,Ebû Muhammed/ Muhammed’in Babası,Şâiru’r-Resûlullah/Resûlullah’ın Şairi,Revâha b. Sa’lebe,Kebşe bint Vâkıt,Harisoğulları/Hazrec,Medine,Tespit edilemedi.,Nübüvvetin 11. yılı,11,10,"Bedir, Uhud, Hendek, Hayber ve Mûte","Medine’de vekâlet, komutanlık ve sancaktarlık",Mûte/Ürdün,"Hicrî, 8/ Miladî, 629",Tespit edilemedi.,,['Ürdün'],Abdullah b. Revâha
44,8137,27015,37,Abdullah b. Revâha,Allah’ın kulu,Ebû Muhammed/ Muhammed’in Babası,Şâiru’r-Resûlullah/Resûlullah’ın Şairi,Revâha b. Sa’lebe,Kebşe bint Vâkıt,Harisoğulları/Hazrec,Medine,Tespit edilemedi.,Nübüvvetin 11. yılı,11,10,"Bedir, Uhud, Hendek, Hayber ve Mûte","Medine’de vekâlet, komutanlık ve sancaktarlık",Mûte/Ürdün,"Hicrî, 8/ Miladî, 629",Tespit edilemedi.,,['Ürdün'],Abdullah b. Revâha
45,8137,27009,37,Abdullah b. Revâha,Allah’ın kulu,Ebû Muhammed/ Muhammed’in Babası,Şâiru’r-Resûlullah/Resûlullah’ın Şairi,Revâha b. Sa’lebe,Kebşe bint Vâkıt,Harisoğulları/Hazrec,Medine,Tespit edilemedi.,Nübüvvetin 11. yılı,11,10,"Bedir, Uhud, Hendek, Hayber ve Mûte","Medine’de vekâlet, komutanlık ve sancaktarlık",Mûte/Ürdün,"Hicrî, 8/ Miladî, 629",Tespit edilemedi.,,['Ürdün'],Abdullah b. Revâha
46,8169,27031,69,Abdullah b. Selâm,Allah’ın Kulu,Ebû Yusuf/Yusuf’un babası,Abâdile-i Seb’a/Yedi Abdullah’tan Biri,Selâm b. el-Hâris,Tespit edilemedi.,Banu Qaynuqa,Medine,"N. Öncesi, 21/Milâdî, 589",Hicretin 1. yılı,10,13,"Uhud, Benî Nadr, Benî Kurayza, Kudüs, Nihavend",Muallimlik,Medine,"Hicrî, 43/ Milâdî, 664",75,,['Medine'],Abdullah b. Selâm
47,8169,27032,69,Abdullah b. Selâm,Allah’ın Kulu,Ebû Yusuf/Yusuf’un babası,Abâdile-i Seb’a/Yedi Abdullah’tan Biri,Selâm b. el-Hâris,Tespit edilemedi.,Banu Qaynuqa,Medine,"N. Öncesi, 21/Milâdî, 589",Hicretin 1. yılı,10,13,"Uhud, Benî Nadr, Benî Kurayza, Kudüs, Nihavend",Muallimlik,Medine,"Hicrî, 43/ Milâdî, 664",75,,['Medine'],Abdullah b. Selâm
48,8169,27009,69,Abdullah b. Selâm,Allah’ın Kulu,Ebû Yusuf/Yusuf’un babası,Abâdile-i Seb’a/Yedi Abdullah’tan Biri,Selâm b. el-Hâris,Tespit edilemedi.,Banu Qaynuqa,Medine,"N. Öncesi, 21/Milâdî, 589",Hicretin 1. yılı,10,13,"Uhud, Benî Nadr, Benî Kurayza, Kudüs, Nihavend",Muallimlik,Medine,"Hicrî, 43/ Milâdî, 664",75,,['Medine'],Abdullah b. Selâm
49,8169,27011,69,Abdullah b. Selâm,Allah’ın Kulu,Ebû Yusuf/Yusuf’un babası,Abâdile-i Seb’a/Yedi Abdullah’tan Biri,Selâm b. el-Hâris,Tespit edilemedi.,Banu Qaynuqa,Medine,"N. Öncesi, 21/Milâdî, 589",Hicretin 1. yılı,10,13,"Uhud, Benî Nadr, Benî Kurayza, Kudüs, Nihavend",Muallimlik,Medine,"Hicrî, 43/ Milâdî, 664",75,,['Medine'],Abdullah b. Selâm
50,8169,27016,69,Abdullah b. Selâm,Allah’ın Kulu,Ebû Yusuf/Yusuf’un babası,Abâdile-i Seb’a/Yedi Abdullah’tan Biri,Selâm b. el-Hâris,Tespit edilemedi.,Banu Qaynuqa,Medine,"N. Öncesi, 21/Milâdî, 589",Hicretin 1. yılı,10,13,"Uhud, Benî Nadr, Benî Kurayza, Kudüs, Nihavend",Muallimlik,Medine,"Hicrî, 43/ Milâdî, 664",75,,['Medine'],Abdullah b. Selâm
51,8149,27028,49,Abdullah b. Zübeyr,Allah’ın kulu,"['Ebû Bekir', 'Ebû Hubeyb']",Hamâmetü’l-Mescid,Zübeyr b. Avvâm,Esma bint Ebî Bekir,Esedoğulları/Mekke,Medine,Hicrî 1/ Milâdî 622,Çocukluktan itibaren,8,33,"['Suriye ve Mısır', 'Yermûk', 'İfrikkıyye', 'Taberistan']","Kur’an’ı çoğaltma heyeti , hilafet",Mekke,"Hicrî, 73/Milâdî, 692",70,,['Mekke'],Abdullah b. Zübeyr
52,8149,27029,49,Abdullah b. Zübeyr,Allah’ın kulu,"['Ebû Bekir', 'Ebû Hubeyb']",Hamâmetü’l-Mescid,Zübeyr b. Avvâm,Esma bint Ebî Bekir,Esedoğulları/Mekke,Medine,Hicrî 1/ Milâdî 622,Çocukluktan itibaren,8,33,"['Suriye ve Mısır', 'Yermûk', 'İfrikkıyye', 'Taberistan']","Kur’an’ı çoğaltma heyeti , hilafet",Mekke,"Hicrî, 73/Milâdî, 692",70,,['Mekke'],Abdullah b. Zübeyr
53,8149,27030,49,Abdullah b. Zübeyr,Allah’ın kulu,"['Ebû Bekir', 'Ebû Hubeyb']",Hamâmetü’l-Mescid,Zübeyr b. Avvâm,Esma bint Ebî Bekir,Esedoğulları/Mekke,Medine,Hicrî 1/ Milâdî 622,Çocukluktan itibaren,8,33,"['Suriye ve Mısır', 'Yermûk', 'İfrikkıyye', 'Taberistan']","Kur’an’ı çoğaltma heyeti , hilafet",Mekke,"Hicrî, 73/Milâdî, 692",70,,['Mekke'],Abdullah b. Zübeyr
54,8149,27033,49,Abdullah b. Zübeyr,Allah’ın kulu,"['Ebû Bekir', 'Ebû Hubeyb']",Hamâmetü’l-Mescid,Zübeyr b. Avvâm,Esma bint Ebî Bekir,Esedoğulları/Mekke,Medine,Hicrî 1/ Milâdî 622,Çocukluktan itibaren,8,33,"['Suriye ve Mısır', 'Yermûk', 'İfrikkıyye', 'Taberistan']","Kur’an’ı çoğaltma heyeti , hilafet",Mekke,"Hicrî, 73/Milâdî, 692",70,,['Mekke'],Abdullah b. Zübeyr
